test,os,id,time
swr,lin,1,68.521484375
swr,lin,2,68.2177734375
swr,lin,3,65.4990234375
swr,lin,4,68.7490234375
swr,lin,5,68.3876953125
swr,lin,6,67.9541015625
swr,lin,7,69.0390625
swr,lin,8,67.185546875
swr,lin,9,65.939453125
swr,lin,10,68.498046875
swr,lin,11,67.779296875
swr,lin,12,68.9853515625
swr,lin,13,68.9423828125
swr,lin,14,68.50390625
swr,lin,15,69.681640625
swr,lin,16,68.1611328125
swr,lin,17,69.619140625
swr,lin,18,66.3466796875
swr,lin,19,65.849609375
swr,lin,20,67.5673828125
swr,lin,21,66.439453125
swr,lin,22,64.515625
swr,lin,23,60.1943359375
swr,lin,24,55.4931640625
swr,lin,25,57.875
swr,lin,26,60.2724609375
swr,lin,27,59.779296875
swr,lin,28,63.806640625
swr,lin,29,66.8798828125
swr,lin,30,63.3779296875
swr,win,1,245.1416015625
swr,win,2,243.31640625
swr,win,3,241.1982421875
swr,win,4,241.8994140625
swr,win,5,243.8125
swr,win,6,246.111328125
swr,win,7,244.1142578125
swr,win,8,244.427734375
swr,win,9,243.5068359375
swr,win,10,244.60546875
swr,win,11,244.1767578125
swr,win,12,244.8916015625
swr,win,13,245.4287109375
swr,win,14,244.619140625
swr,win,15,244.7353515625
swr,win,16,245.5439453125
swr,win,17,244.826171875
swr,win,18,244.943359375
swr,win,19,245.466796875
swr,win,20,241.490234375
swr,win,21,243.8388671875
swr,win,22,242.6767578125
swr,win,23,241.8427734375
swr,win,24,242.2734375
swr,win,25,242.3740234375
swr,win,26,242.1396484375
swr,win,27,242.328125
swr,win,28,244.748046875
swr,win,29,242.02734375
swr,win,30,242.12109375